"voteintentionspain","edu3","dhincome_all","female","nativism","msexism","femdemonstrate"
4,1,0.181818187236786,1,0.449999988079071,0.203703716397285,1
23,1,0.272727280855179,1,0.649999976158142,0.555555582046509,0
23,1,0.181818187236786,1,0.75,0.388888865709305,0
7,3,0.545454561710358,0,0.350000023841858,0.203703716397285,0
1,3,0.545454561710358,1,0.649999976158142,0.407407402992249,0
1,1,0.363636374473572,1,0.5,0.222222208976746,1
4,2,0.545454561710358,0,0.5,0.5,0
2,2,0.454545468091965,0,0.5,0.5,0
2,2,0.454545468091965,0,0.5,0.5,0
4,3,0.454545468091965,1,0.5,0.16666667163372,1
4,3,0.454545468091965,1,0.350000023841858,0.16666667163372,0
1,3,0.545454561710358,1,0.550000011920929,0.370370388031006,0
3,3,0.636363625526428,0,0.5,0.314814805984497,0
3,3,0.636363625526428,0,0.150000005960464,0.203703716397285,0
4,3,0.818181812763214,1,1,0.129629626870155,0
4,3,0.636363625526428,1,1,0.148148134350777,0
1,3,0.636363625526428,1,0.899999976158142,0.444444447755814,0
3,3,0.454545468091965,1,0.5,0.0925925970077515,1
3,3,0.454545468091965,1,0.400000005960464,0,1
3,3,0.454545468091965,1,0.5,0.111111104488373,0
2,3,0.727272748947144,1,0.25,0.296296268701553,0
4,3,0.727272748947144,1,0.25,0.259259253740311,0
2,3,0.727272748947144,1,0.550000011920929,0.259259253740311,0
1,3,0.363636374473572,1,0.75,0.148148134350777,1
4,3,0.818181812763214,1,0.550000011920929,0.5,0
2,3,0.636363625526428,0,0.699999988079071,0.185185194015503,0
2,3,0.545454561710358,0,0.5,0.314814805984497,0
2,3,0.727272748947144,0,0.400000005960464,0.518518507480621,0
23,3,0.272727280855179,0,0.75,0.462962955236435,0
23,3,0.090909093618393,0,0.699999988079071,0.555555582046509,0
2,3,0.727272748947144,1,0.550000011920929,0.481481462717056,0
4,3,0.90909093618393,1,0.600000023841858,0.203703716397285,0
4,3,0.818181812763214,1,0.600000023841858,0.611111104488373,0
2,3,0.90909093618393,1,0.300000011920929,0.462962955236435,0
3,3,0.818181812763214,0,0.25,0.333333343267441,0
1,3,0.818181812763214,0,0.400000005960464,0.240740731358528,0
3,3,0.818181812763214,0,0.300000011920929,0.296296268701553,0
4,3,0.636363625526428,0,0.75,0.611111104488373,1
1,3,0.636363625526428,0,0.850000023841858,0.407407402992249,1
23,1,0,1,0.5,0.351851850748062,1
4,3,0.454545468091965,1,0.5,0.537037074565887,0
1,2,0.727272748947144,0,0.5,0.351851850748062,0
3,3,0.545454561710358,0,0.449999988079071,0.129629626870155,0
7,2,0.636363625526428,0,0.600000023841858,0.370370388031006,0
